Usuario,TimeStamp,angry,disgust,fear,happy,sad,surprise,neutral,Dominant_Emotion
Anxo,2026-03-08 09:21:59.522,0.0,0.0,0.01,0.4,0.0,0.55,0.04,surprise
Anxo,2026-03-08 09:21:59.557,0.0,0.0,0.0,0.77,0.0,0.23,0.0,happy
Anxo,2026-03-08 09:21:59.592,0.0,0.0,0.0,0.72,0.0,0.27,0.0,happy
Anxo,2026-03-08 09:21:59.629,0.0,0.0,0.0,0.9,0.0,0.1,0.0,happy
Anxo,2026-03-08 09:21:59.665,0.0,0.0,0.0,0.89,0.0,0.09,0.02,happy
Anxo,2026-03-08 09:21:59.704,0.0,0.0,0.0,0.94,0.0,0.05,0.0,happy
Anxo,2026-03-08 09:21:59.739,0.0,0.0,0.0,0.71,0.0,0.29,0.0,happy
Anxo,2026-03-08 09:21:59.783,0.0,0.0,0.0,0.92,0.0,0.08,0.0,happy
Anxo,2026-03-08 09:21:59.820,0.0,0.0,0.0,0.76,0.0,0.23,0.01,happy
Anxo,2026-03-08 09:21:59.856,0.0,0.0,0.0,0.76,0.0,0.23,0.01,happy
Anxo,2026-03-08 09:21:59.894,0.0,0.0,0.0,0.55,0.0,0.42,0.02,happy
Anxo,2026-03-08 09:21:59.931,0.0,0.0,0.01,0.6,0.0,0.34,0.05,happy
Anxo,2026-03-08 09:21:59.968,0.0,0.0,0.02,0.63,0.0,0.2,0.14,happy
Anxo,2026-03-08 09:22:00.016,0.01,0.0,0.02,0.32,0.01,0.11,0.54,neutral
Anxo,2026-03-08 09:22:00.060,0.01,0.0,0.04,0.61,0.0,0.22,0.12,happy
Anxo,2026-03-08 09:22:00.102,0.0,0.0,0.03,0.57,0.0,0.2,0.19,happy
Anxo,2026-03-08 09:22:00.141,0.0,0.0,0.01,0.77,0.0,0.17,0.04,happy
Anxo,2026-03-08 09:22:00.177,0.0,0.0,0.06,0.33,0.0,0.33,0.28,happy
Anxo,2026-03-08 09:22:00.214,0.0,0.0,0.01,0.69,0.0,0.25,0.05,happy
Anxo,2026-03-08 09:22:00.250,0.0,0.0,0.02,0.58,0.0,0.36,0.04,happy
Anxo,2026-03-08 09:22:00.286,0.0,0.0,0.02,0.49,0.0,0.44,0.05,happy
Anxo,2026-03-08 09:22:00.321,0.0,0.0,0.01,0.69,0.0,0.26,0.03,happy
Anxo,2026-03-08 09:22:00.357,0.0,0.0,0.0,0.76,0.0,0.22,0.01,happy
Anxo,2026-03-08 09:22:00.394,0.0,0.0,0.0,0.89,0.0,0.11,0.01,happy
Anxo,2026-03-08 09:22:00.431,0.0,0.0,0.0,0.84,0.0,0.14,0.02,happy
Anxo,2026-03-08 09:22:00.466,0.0,0.0,0.0,0.88,0.0,0.12,0.01,happy
Anxo,2026-03-08 09:22:00.501,0.0,0.0,0.0,0.9,0.0,0.09,0.01,happy
Anxo,2026-03-08 09:22:00.536,0.0,0.0,0.0,0.93,0.0,0.07,0.0,happy
Anxo,2026-03-08 09:22:00.571,0.0,0.0,0.0,0.7,0.0,0.29,0.0,happy
Anxo,2026-03-08 09:22:00.605,0.0,0.0,0.0,0.87,0.0,0.12,0.0,happy
Anxo,2026-03-08 09:22:00.641,0.0,0.0,0.0,0.72,0.0,0.28,0.0,happy
Anxo,2026-03-08 09:22:00.714,0.0,0.0,0.0,0.96,0.0,0.04,0.0,happy
Anxo,2026-03-08 09:22:00.748,0.0,0.0,0.0,0.85,0.0,0.15,0.0,happy
Anxo,2026-03-08 09:22:00.783,0.0,0.0,0.0,0.81,0.0,0.19,0.0,happy
Anxo,2026-03-08 09:22:00.820,0.0,0.0,0.0,0.9,0.0,0.1,0.0,happy
Anxo,2026-03-08 09:22:00.856,0.0,0.0,0.0,0.85,0.0,0.15,0.0,happy
Anxo,2026-03-08 09:22:00.890,0.0,0.0,0.0,0.93,0.0,0.07,0.0,happy
Anxo,2026-03-08 09:22:00.927,0.0,0.0,0.0,0.95,0.0,0.05,0.0,happy
Anxo,2026-03-08 09:22:00.962,0.0,0.0,0.0,0.91,0.0,0.09,0.0,happy
Anxo,2026-03-08 09:22:01.001,0.0,0.0,0.0,0.87,0.0,0.13,0.0,happy
Anxo,2026-03-08 09:22:01.034,0.0,0.0,0.0,0.95,0.0,0.05,0.0,happy
Anxo,2026-03-08 09:22:01.072,0.0,0.0,0.0,0.92,0.0,0.08,0.0,happy
Anxo,2026-03-08 09:22:01.107,0.0,0.0,0.0,0.87,0.0,0.13,0.0,happy
Anxo,2026-03-08 09:22:01.149,0.0,0.0,0.0,0.45,0.0,0.54,0.0,surprise
Anxo,2026-03-08 09:22:01.184,0.01,0.0,0.07,0.34,0.0,0.29,0.29,happy
Anxo,2026-03-08 09:22:01.222,0.01,0.0,0.11,0.43,0.01,0.3,0.15,happy
Anxo,2026-03-08 09:22:01.256,0.0,0.0,0.12,0.2,0.0,0.62,0.04,surprise
Anxo,2026-03-08 09:22:01.291,0.01,0.0,0.06,0.28,0.0,0.6,0.05,surprise
Anxo,2026-03-08 09:22:01.327,0.0,0.0,0.01,0.69,0.0,0.29,0.02,happy
Anxo,2026-03-08 09:22:01.361,0.0,0.0,0.01,0.55,0.0,0.44,0.01,happy
Anxo,2026-03-08 09:22:01.397,0.01,0.0,0.01,0.73,0.0,0.25,0.01,happy
Anxo,2026-03-08 09:22:01.434,0.0,0.0,0.0,0.43,0.0,0.56,0.0,surprise
Anxo,2026-03-08 09:22:01.470,0.0,0.0,0.0,0.47,0.0,0.52,0.0,surprise
Anxo,2026-03-08 09:22:01.507,0.0,0.0,0.0,0.46,0.0,0.54,0.0,surprise
Anxo,2026-03-08 09:22:01.545,0.0,0.0,0.0,0.63,0.0,0.37,0.0,happy
Anxo,2026-03-08 09:22:01.583,0.0,0.0,0.0,0.35,0.0,0.65,0.0,surprise
Anxo,2026-03-08 09:22:01.617,0.0,0.0,0.0,0.71,0.0,0.28,0.0,happy
Anxo,2026-03-08 09:22:01.654,0.0,0.0,0.0,0.84,0.0,0.16,0.0,happy
Anxo,2026-03-08 09:22:01.692,0.0,0.0,0.0,0.87,0.0,0.13,0.0,happy
Anxo,2026-03-08 09:22:01.729,0.0,0.0,0.0,0.91,0.0,0.09,0.0,happy
Anxo,2026-03-08 09:22:01.764,0.0,0.0,0.0,0.98,0.0,0.02,0.0,happy
Anxo,2026-03-08 09:22:01.800,0.0,0.0,0.0,0.99,0.0,0.01,0.0,happy
Anxo,2026-03-08 09:22:01.835,0.0,0.0,0.0,0.95,0.0,0.05,0.0,happy
Anxo,2026-03-08 09:22:01.879,0.0,0.0,0.0,0.89,0.0,0.09,0.01,happy
Anxo,2026-03-08 09:22:01.921,0.0,0.0,0.01,0.8,0.0,0.16,0.03,happy
Anxo,2026-03-08 09:22:01.963,0.01,0.0,0.04,0.63,0.0,0.22,0.09,happy
Anxo,2026-03-08 09:22:02.004,0.02,0.0,0.04,0.55,0.01,0.14,0.23,happy
Anxo,2026-03-08 09:22:02.039,0.01,0.0,0.04,0.74,0.01,0.11,0.09,happy
Anxo,2026-03-08 09:22:02.075,0.01,0.0,0.01,0.66,0.0,0.16,0.16,happy
Anxo,2026-03-08 09:22:02.110,0.03,0.0,0.04,0.47,0.01,0.3,0.16,happy
Anxo,2026-03-08 09:22:02.153,0.04,0.0,0.03,0.23,0.01,0.1,0.58,neutral
Anxo,2026-03-08 09:22:02.198,0.09,0.0,0.05,0.12,0.01,0.12,0.61,neutral
Anxo,2026-03-08 09:22:02.232,0.07,0.0,0.07,0.22,0.03,0.14,0.47,neutral
Anxo,2026-03-08 09:22:02.271,0.06,0.0,0.09,0.3,0.03,0.29,0.24,happy
Anxo,2026-03-08 09:22:02.306,0.01,0.0,0.01,0.79,0.0,0.19,0.01,happy
Anxo,2026-03-08 09:22:02.343,0.0,0.0,0.0,0.92,0.0,0.07,0.01,happy
Anxo,2026-03-08 09:22:02.381,0.0,0.0,0.0,0.99,0.0,0.01,0.0,happy
Anxo,2026-03-08 09:22:02.417,0.0,0.0,0.0,1.0,0.0,0.0,0.0,happy
Anxo,2026-03-08 09:22:02.452,0.0,0.0,0.0,0.94,0.0,0.01,0.04,happy
Anxo,2026-03-08 09:22:02.493,0.03,0.0,0.02,0.7,0.06,0.01,0.19,happy
Anxo,2026-03-08 09:22:02.527,0.04,0.0,0.03,0.57,0.1,0.03,0.23,happy
Anxo,2026-03-08 09:22:02.564,0.06,0.0,0.08,0.23,0.37,0.09,0.17,sad
Anxo,2026-03-08 09:22:02.601,0.07,0.0,0.06,0.08,0.73,0.02,0.05,sad
Anxo,2026-03-08 09:22:02.818,0.29,0.0,0.16,0.04,0.39,0.02,0.09,sad
Anxo,2026-03-08 09:22:02.859,0.07,0.0,0.12,0.54,0.17,0.02,0.08,happy
Anxo,2026-03-08 09:22:02.896,0.05,0.0,0.08,0.76,0.05,0.02,0.03,happy
Anxo,2026-03-08 09:22:02.938,0.12,0.0,0.15,0.41,0.16,0.02,0.14,happy
Anxo,2026-03-08 09:22:02.938,0.26,0.0,0.05,0.09,0.39,0.08,0.13,sad
Anxo,2026-03-08 09:22:02.977,0.12,0.0,0.1,0.43,0.17,0.03,0.14,happy
Anxo,2026-03-08 09:22:02.977,0.16,0.0,0.06,0.04,0.6,0.02,0.12,sad
Anxo,2026-03-08 09:22:03.022,0.03,0.0,0.07,0.65,0.07,0.02,0.16,happy
Anxo,2026-03-08 09:22:03.022,0.16,0.0,0.04,0.2,0.35,0.09,0.15,sad
Anxo,2026-03-08 09:22:03.070,0.03,0.0,0.02,0.85,0.03,0.02,0.04,happy
Anxo,2026-03-08 09:22:03.070,0.07,0.0,0.03,0.52,0.11,0.11,0.16,happy
Anxo,2026-03-08 09:22:03.110,0.04,0.0,0.02,0.82,0.05,0.01,0.07,happy
Anxo,2026-03-08 09:22:03.111,0.01,0.0,0.0,0.9,0.0,0.04,0.04,happy
Anxo,2026-03-08 09:22:03.149,0.04,0.0,0.02,0.82,0.05,0.01,0.06,happy
Anxo,2026-03-08 09:22:03.150,0.0,0.0,0.0,0.97,0.0,0.01,0.02,happy
Anxo,2026-03-08 09:22:03.192,0.1,0.0,0.03,0.76,0.05,0.01,0.05,happy
Anxo,2026-03-08 09:22:03.192,0.0,0.0,0.0,1.0,0.0,0.0,0.0,happy
Anxo,2026-03-08 09:22:03.235,0.04,0.0,0.01,0.87,0.04,0.0,0.03,happy
Anxo,2026-03-08 09:22:03.235,0.0,0.0,0.0,0.99,0.0,0.0,0.01,happy
Anxo,2026-03-08 09:22:03.277,0.04,0.0,0.01,0.9,0.02,0.0,0.02,happy
Anxo,2026-03-08 09:22:03.277,0.0,0.0,0.0,0.99,0.0,0.0,0.01,happy
Anxo,2026-03-08 09:22:03.316,0.05,0.0,0.01,0.82,0.06,0.0,0.06,happy
Anxo,2026-03-08 09:22:03.317,0.0,0.0,0.0,0.99,0.0,0.0,0.01,happy
Anxo,2026-03-08 09:22:03.354,0.03,0.0,0.01,0.83,0.03,0.0,0.1,happy
Anxo,2026-03-08 09:22:03.354,0.0,0.0,0.0,0.99,0.0,0.0,0.01,happy
